♠5♥K♣5♥0♦2|Pair
♠5♥K♣5♥0♥2|Pair
♠5♥K♣5♦2♥2|Two Pairs
♠5♥K♥0♦2♥2|Pair
♠5♣5♥0♦2♥2|Two Pairs
♥K♣5♥0♦2♥2|Pair
♠5♥K♣5♥0♣8|Pair
♠5♥K♣5♦2♣8|Pair
♠5♣5♥0♦2♣8|Pair
♠5♥K♣5♥2♣8|Pair
♠5♣5♥0♥2♣8|Pair
♠5♥K♦2♥2♣8|Pair
♠5♣5♦2♥2♣8|Two Pairs
♥K♣5♦2♥2♣8|Pair
♠5♥0♦2♥2♣8|Pair
♥K♥0♦2♥2♣8|Pair
♣5♥0♦2♥2♣8|Pair
♠5♥K♣5♥0♣7|Pair
♠5♥K♣5♦2♣7|Pair
♠5♣5♥0♦2♣7|Pair
♠5♥K♣5♥2♣7|Pair
♠5♣5♥0♥2♣7|Pair
♠5♥K♦2♥2♣7|Pair
♠5♣5♦2♥2♣7|Two Pairs
♥K♣5♦2♥2♣7|Pair
♠5♥0♦2♥2♣7|Pair
♥K♥0♦2♥2♣7|Pair
♣5♥0♦2♥2♣7|Pair
♠5♥K♣5♣8♣7|Pair
♠5♣5♥0♣8♣7|Pair
♠5♣5♦2♣8♣7|Pair
♠5♣5♥2♣8♣7|Pair
♠5♦2♥2♣8♣7|Pair
♥K♦2♥2♣8♣7|Pair
♣5♦2♥2♣8♣7|Pair
♥0♦2♥2♣8♣7|Pair
♠5♥K♣5♥0♦6|Pair
♠5♥K♣5♦2♦6|Pair
♠5♣5♥0♦2♦6|Pair
♠5♥K♣5♥2♦6|Pair
♠5♣5♥0♥2♦6|Pair
♠5♥K♦2♥2♦6|Pair
♠5♣5♦2♥2♦6|Two Pairs
♥K♣5♦2♥2♦6|Pair
♠5♥0♦2♥2♦6|Pair
♥K♥0♦2♥2♦6|Pair
♣5♥0♦2♥2♦6|Pair
♠5♥K♣5♣8♦6|Pair
♠5♣5♥0♣8♦6|Pair
♠5♣5♦2♣8♦6|Pair
♠5♣5♥2♣8♦6|Pair
♠5♦2♥2♣8♦6|Pair
♥K♦2♥2♣8♦6|Pair
♣5♦2♥2♣8♦6|Pair
♥0♦2♥2♣8♦6|Pair
♠5♥K♣5♣7♦6|Pair
♠5♣5♥0♣7♦6|Pair
♠5♣5♦2♣7♦6|Pair
♠5♣5♥2♣7♦6|Pair
♠5♦2♥2♣7♦6|Pair
♥K♦2♥2♣7♦6|Pair
♣5♦2♥2♣7♦6|Pair
♥0♦2♥2♣7♦6|Pair
♠5♣5♣8♣7♦6|Pair
♦2♥2♣8♣7♦6|Pair
♠5♥K♣5♥0♦4|Pair
♠5♥K♣5♦2♦4|Pair
♠5♣5♥0♦2♦4|Pair
♠5♥K♣5♥2♦4|Pair
♠5♣5♥0♥2♦4|Pair
♠5♥K♦2♥2♦4|Pair
♠5♣5♦2♥2♦4|Two Pairs
♥K♣5♦2♥2♦4|Pair
♠5♥0♦2♥2♦4|Pair
♥K♥0♦2♥2♦4|Pair
♣5♥0♦2♥2♦4|Pair
♠5♥K♣5♣8♦4|Pair
♠5♣5♥0♣8♦4|Pair
♠5♣5♦2♣8♦4|Pair
♠5♣5♥2♣8♦4|Pair
♠5♦2♥2♣8♦4|Pair
♥K♦2♥2♣8♦4|Pair
♣5♦2♥2♣8♦4|Pair
♥0♦2♥2♣8♦4|Pair
♠5♥K♣5♣7♦4|Pair
♠5♣5♥0♣7♦4|Pair
♠5♣5♦2♣7♦4|Pair
♠5♣5♥2♣7♦4|Pair
♠5♦2♥2♣7♦4|Pair
♥K♦2♥2♣7♦4|Pair
♣5♦2♥2♣7♦4|Pair
♥0♦2♥2♣7♦4|Pair
♠5♣5♣8♣7♦4|Pair
♦2♥2♣8♣7♦4|Pair
♠5♥K♣5♦6♦4|Pair
♠5♣5♥0♦6♦4|Pair
♠5♣5♦2♦6♦4|Pair
♠5♣5♥2♦6♦4|Pair
♠5♦2♥2♦6♦4|Pair
♥K♦2♥2♦6♦4|Pair
♣5♦2♥2♦6♦4|Pair
♥0♦2♥2♦6♦4|Pair
♠5♣5♣8♦6♦4|Pair
♦2♥2♣8♦6♦4|Pair
♠5♣5♣7♦6♦4|Pair
♦2♥2♣7♦6♦4|Pair
♠5♣8♣7♦6♦4|Straight
♣5♣8♣7♦6♦4|Straight
